"(0.4000000000000001, 0.6666666666666666)"
"(0.35, 0.4)"
"(0.32142857142857145, 0.45000000000000007)"
"(0.3724431818181818, 0.7363636363636363)"
"(0.5266666666666667, 0.6333333333333333)"
"(0.2, 0.3726190476190476)"
"(0.5625, 0.7333333333333334)"
"(0.18357142857142858, 0.4652380952380953)"
"(0.2490530303030303, 0.5195707070707071)"
"(0.5249999999999999, 0.6799999999999999)"
"(0.5, 0.5)"
"(0.0, 0.0)"
"(1.0, 0.3)"
"(0.35568181818181815, 0.7022727272727273)"
"(0.0, 0.0)"
"(0.5, 0.5)"
"(0.8, 0.75)"
"(0.8, 0.75)"
"(0.8, 0.75)"
"(0.6, 0.525)"
"(0.27283333333333337, 0.552)"
"(0.5541666666666667, 0.6333333333333333)"
"(0.10000000000000002, 0.46666666666666673)"
"(0.10000000000000002, 0.46666666666666673)"
"(0.0, 0.5)"
"(0.3666666666666667, 0.35000000000000003)"
"(0.08333333333333333, 0.3666666666666667)"
"(0.5533333333333333, 0.5133333333333333)"
"(0.35833333333333334, 0.5666666666666667)"
"(0.29374999999999996, 0.42500000000000004)"
"(0.5, 0.5)"
"(0.5533333333333333, 0.6766666666666667)"
"(0.27878787878787875, 0.5181818181818182)"
"(0.2, 0.3)"
"(0.0, 0.0)"
"(0.3, 0.4333333333333333)"
"(0.4833333333333334, 0.5666666666666667)"
"(0.4125, 0.8)"
"(0.09375, 0.45)"
"(0.64375, 0.7)"
"(0.3666666666666667, 0.5333333333333333)"
"(0.15097064393939397, 0.5622632575757576)"
"(0.6124999999999999, 0.55)"
"(0.10918367346938775, 0.589795918367347)"
"(0.22499999999999998, 0.375)"
"(0.15, 0.5499999999999999)"
"(0.26666666666666666, 0.5375)"
"(-0.0375, 0.22000000000000003)"
"(0.4, 0.6)"
"(0.6, 1.0)"
"(0.5, 1.0)"
"(0.0, 0.0)"
"(0.5, 0.5)"
"(0.24545454545454545, 0.5)"
"(0.0, 0.3)"
"(0.4000000000000001, 0.9)"
"(-0.07142857142857142, 0.21428571428571427)"
"(0.8, 0.75)"
"(0.5666666666666668, 0.5833333333333334)"
"(0.0, 0.1)"
"(0.5, 0.5)"
"(0.13571428571428573, 0.6485714285714286)"
"(0.3964285714285714, 0.43392857142857144)"
